,icont,frequency,vc,vb,mode,corner,temperature,bias_current
759,5e-05,1597040.0,1.02162,0.725722,C-decoupled,ff,75.0,5e-05
760,0.000225,3671070.0,1.83275,0.516049,C-decoupled,fs,100.0,0.000225
761,5e-05,1581980.0,1.05501,0.727868,full-RC,tt,100.0,5e-05
762,0.00015,3179820.0,1.52445,0.527599,full-RC,tt,100.0,0.00015
763,0.0002,5e-07,1.55376,0.34732,C-coupled,ss,0.0,0.0002
764,0.000125,3017600.0,1.3892,0.50521,C-decoupled,sf,100.0,0.000125
765,0.0001,2783670.0,1.34696,0.652633,schematic,fs,100.0,0.0001
766,0.0002,4359610.0,1.4855,0.327228,schematic,sf,0.0,0.0002
767,0.0002,3735180.0,1.64743,0.403648,C-decoupled,ss,50.0,0.0002
768,5e-05,2085400.0,1.04354,0.515894,C-coupled,ss,-25.0,5e-05
769,0.0001,3290490.0,1.20306,0.436154,full-RC,tt,-25.0,0.0001
770,7.5e-05,2812760.0,1.11844,0.484603,C-coupled,tt,-25.0,7.5e-05
771,2.5e-05,651933.0,0.854743,0.728351,schematic,sf,75.0,2.5e-05
772,0.0001,3162180.0,1.19683,0.500216,full-RC,ff,0.0,0.0001
773,0.000125,3579740.0,1.33686,0.464975,schematic,tt,27.0,0.000125
774,5e-05,1733010.0,1.01546,0.629301,C-coupled,sf,75.0,5e-05
775,7.5e-05,2351440.0,1.21099,0.678301,C-decoupled,fs,75.0,7.5e-05
776,0.000175,3792830.0,1.46078,0.4448,C-coupled,ff,27.0,0.000175
777,0.000125,3547370.0,1.27322,0.380778,C-decoupled,sf,0.0,0.000125
778,7.5e-05,2392780.0,1.13522,0.61946,full-RC,ff,50.0,7.5e-05
779,0.0001,2950310.0,1.2683,0.531158,C-decoupled,tt,50.0,0.0001
780,0.0001,2806300.0,1.29098,0.563656,C-coupled,tt,75.0,0.0001
781,0.00025,3948050.0,1.79617,0.379401,C-coupled,ss,50.0,0.00025
782,0.000175,4033940.0,1.48732,0.432738,full-RC,fs,0.0,0.000175
783,0.000225,3938270.0,1.64434,0.439418,full-RC,ff,50.0,0.000225
